サイコロ試行	1回目	確率	2回目	確率	3回目	確率	4回目	確率	5回目	確率
GetRandNumber()										
1	101	16.83333333	1022	17.03333333	10056	16.76	101445	16.9075	1014498	16.9083
2	99	16.5	981	16.35	9898	16.49666667	99751	16.62516667	997465	16.62441667
3	97	16.16666667	1027	17.11666667	10009	16.68166667	99537	16.5895	996818	16.61363333
4	93	15.5	979	16.31666667	10022	16.70333333	99796	16.63266667	997426	16.62376667
5	101	16.83333333	1019	16.98333333	10086	16.81	99779	16.62983333	996547	16.60911667
6	109	18.16666667	972	16.2	9929	16.54833333	99692	16.61533333	997246	16.62076667
合計	600	100	6000	100	60000	100	600000	100	6000000	100
事象差	16		55		188		1908		17951	
割合差	2.666666667		0.916666667		0.313333333		0.318		0.299183333	
										
GetRand()										
1	119	19.83333333	961	16.01666667	9973	16.62166667	100229	16.70483333	999675	16.66125
2	88	14.66666667	983	16.38333333	9920	16.53333333	99499	16.58316667	999000	16.65
3	86	14.33333333	985	16.41666667	10019	16.69833333	99891	16.6485	999120	16.652
4	109	18.16666667	1027	17.11666667	9994	16.65666667	100296	16.716	1000516	16.67526667
5	95	15.83333333	1033	17.21666667	10007	16.67833333	100380	16.73	1002015	16.70025
6	103	17.16666667	1011	16.85	10087	16.81166667	99705	16.6175	999674	16.66123333
合計	600	100	6000	100	60000	100	600000	100	6000000	100
事象差	33		72		167		881		3015	
割合差	5.5		1.2		0.278333333		0.146833333		0.05025	
										
rand()										
1	80	13.33333333	1021	17.01666667	10041	16.735	100168	16.69466667	100168	16.69466667
2	104	17.33333333	1032	17.2	10083	16.805	99889	16.64816667	99889	16.64816667
3	111	18.5	983	16.38333333	9961	16.60166667	100072	16.67866667	100072	16.67866667
4	107	17.83333333	987	16.45	10055	16.75833333	100365	16.7275	100365	16.7275
5	88	14.66666667	1011	16.85	10029	16.715	99593	16.59883333	99593	16.59883333
6	110	18.33333333	966	16.1	9831	16.385	99913	16.65216667	99913	16.65216667
合計	600	100	6000	100	60000	100	600000	100	600000	100
事象差	31		66		252		772		772	
割合差	5.166666667		1.1		0.42		0.128666667		0.128666667	
